time,altitude,rc_ele,rc_thr,rc_rud,tx_ele,tx_thr,tx_rud,acc_X,acc_Y,acc_Z,gyro_pitch,gyro_roll,gyro_yaw
29.185515,1.96,-131,1849,-230,1315,2011,1207,1303,363,-1802,80.82264930282211,-56.73758293374986,-51.459344620290125
29.186518,1.96,-130,1849,-228,1315,2011,1207,1318,371,-1740,78.22728588653672,-56.885810739677126,-51.47277553666143
29.187518,1.96,-129,1849,-227,1315,2011,1207,1323,375,-1676,75.61084936934171,-57.00383019610365,-51.49348659722367
29.188521,1.96,-128,1849,-226,1315,2011,1207,1320,373,-1610,72.97811242856663,-57.09240907194263,-51.5210780059552
29.189527,1.96,-127,1849,-225,1323,2011,1215,1309,364,-1544,70.33394357402271,-57.152293721109054,-51.555140754354845
29.190525,1.96,-126,1849,-224,1323,2011,1215,1291,348,-1480,67.68329719915677,-57.1842035880944,-51.595257946367056
29.191524,1.96,-125,1849,-222,1323,2011,1215,1267,325,-1416,65.03120325275835,-57.18882617322296,-51.64100613934855
29.192526,1.96,-124,1849,-221,1323,2011,1215,1241,299,-1354,62.382756540149465,-57.16681250349089,-51.69195669234962
29.193525,1.96,-123,1849,-220,1323,2011,1215,1215,274,-1295,59.743105662890876,-57.118773151652164,-51.74767711301832
29.194529,1.96,-122,1849,-219,1323,2011,1215,1186,251,-1243,57.117441606106254,-57.0452748421378,-51.807732394383045
29.19553,1.96,-122,1849,-218,1323,2011,1215,1152,236,-1200,54.51098598256786,-56.94683767677369,-51.87168633261236
29.196533,1.96,-121,1849,-217,1323,2011,1215,1109,229,-1163,51.928978942793535,-56.82393300578083,-51.93910281666784
29.197534,1.96,-121,1849,-217,1323,2011,1215,1054,227,-1128,49.3766667608293,-56.67698196038041,-52.009547080728446
29.198541,1.96,-120,1849,-216,1323,2011,1215,990,226,-1088,46.85928910642697,-56.50635465311222,-52.08258691055688
29.199538,1.96,-120,1849,-216,1323,2011,1215,923,224,-1042,44.382066015972796,-56.31237004169436,-52.15779379570159
29.200538,1.96,-120,1849,-216,1323,2011,1215,863,217,-987,41.950184576376266,-56.09529644305487,-52.23474402057505
29.201539,1.96,-120,1849,-216,1323,2011,1215,816,202,-925,39.56878533770293,-55.85535267703032,-52.31301968893214
29.202542,1.96,-120,1849,-216,1323,2011,1215,781,181,-860,37.24294847156147,-55.592709814641445,-52.39220967795956
29.203541,1.96,-120,1849,-216,1323,2011,1215,757,158,-792,34.97767969356282,-55.30749350365424,-52.471910519974834
29.204545,1.96,-120,1849,-216,1323,2011,1215,745,143,-719,32.77789597013731,-54.999786843488565,-52.551727211623195
29.205546,1.96,-120,1849,-216,1323,2011,1215,746,139,-638,30.648411032947195,-54.669633781147866,-52.63127395247096
29.206548,1.96,-120,1849,-216,1323,2011,1215,761,141,-538,28.593920727900414,-54.31704299840362,-52.710174816806365
29.207552,1.96,-120,1849,-216,1313,2011,1201,785,145,-412,26.61898822992785,-53.941992257191366,-52.78806436374905
29.20855,1.96,-121,1849,-218,1313,2011,1201,808,144,-256,24.728029159088276,-53.54443316510912,-52.8645881909223
29.209551,1.96,-122,1849,-220,1313,2011,1201,828,138,-71,22.92529663853382,-53.12429631675888,-52.93940343591462
29.210553,1.96,-123,1849,-221,1313,2011,1201,840,124,141,21.214866340940006,-52.68149676025267,-53.012179228101886
29.211553,2.05,-124,1849,-223,1313,2011,1201,843,101,377,19.6006215775848,-52.21593973201465,-53.082597091875165
29.212554,2.05,-125,1849,-225,1313,2011,1201,836,70,636,18.086238493185924,-51.72752659726803,-53.15035130136804
29.213556,2.05,-125,1849,-226,1313,2011,1201,818,33,920,16.67517143887889,-51.21616092855218,-53.21514918641573
